"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"6","6","Astrolabe","all","Near Mint","English","","","2023-04-10 08:08:49.223000","118a","False","False",""
"1","1","Atarka, World Render","scd","Near Mint","English","etched","","2023-03-11 15:30:56.487000","1","False","False",""
"1","1","Atarka, World Render","pfrf","Near Mint","English","","","2023-10-21 14:01:05.380000","149p","False","True",""
"1","1","Atmosphere Surgeon","one","Near Mint","English","","","2023-02-09 09:26:14.350000","41","False","False",""
"1","1","Atog","mrd","Near Mint","English","","","2023-07-03 07:41:16.767000","86","False","False",""
"1","1","Atog","3ed","Near Mint","English","","","2023-03-04 18:49:46.387000","139","False","False",""
"1","1","Atraxa, Grand Unifier","one","Mint","English","","","2023-02-09 06:42:37.353000","196","False","False",""
"1","1","Atraxa, Praetors' Voice","mul","Near Mint","English","","","2023-04-12 16:51:59.357000","33","False","True",""
"1","1","Atraxa, Praetors' Voice","2xm","Near Mint","English","","","2023-08-24 06:59:06.500000","190","False","False",""
"2","2","Atraxa's Fall","mom","Near Mint","English","","","2023-05-11 07:16:16.917000","176","False","False",""
"1","1","Atraxa's Skitterfang","one","Near Mint","English","","","2023-02-04 11:06:27.507000","223","False","False",""
"2","2","Attentive Skywarden","mom","Near Mint","English","","","2023-07-21 20:48:25.780000","7","False","False",""
"1","1","Audacious Reshapers","brc","Near Mint","English","","","2023-01-28 15:08:38.020000","112","False","False",""
"1","1","Audacity","bro","Near Mint","English","","","2023-03-22 13:11:17.320000","169","False","False",""
"1","1","Augur of Autumn","mid","Near Mint","English","","","2023-03-08 10:43:21.210000","168","False","False",""
"3","3","Augur of Autumn","dbl","Near Mint","English","","","2023-07-09 09:48:25.113000","168","False","True",""
"1","1","Augur of Bolas","war","Near Mint","English","","","2023-04-29 13:40:27.337000","41","False","False",""
"1","1","Auntie Blyte, Bad Influence","j22","Mint","English","","","2023-01-21 13:13:55.757000","30","False","False",""
"1","1","Aura Shards","plist","Near Mint","English","","","2023-05-24 13:07:23.067000","437","False","True",""
"1","1","Aurochs","ice","Near Mint","English","","","2023-02-01 11:29:53.673000","225","False","False",""
"1","1","Austere Command","ima","Near Mint","English","","","2023-06-17 18:18:59.483000","10","False","True",""
"1","1","Automated Artificer","neo","Near Mint","English","","","2023-02-22 20:08:46.993000","239","False","False",""
"1","1","Autumn Willow","hml","Near Mint","English","","","2023-01-21 07:58:59.383000","83","False","False",""
"1","1","Autumn's Veil","m12","Near Mint","German","","","2023-04-29 13:44:15.703000","164","False","False",""
"1","1","Avacyn, Angel of Hope","2xm","Near Mint","English","","","2023-08-24 06:44:52.283000","8","False","False",""
